Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Armenia;ARM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0091170;0,0527431;0,0945729;0,1116509;0,1286595;0,9707378;1,3004700;1,6310947;1,9604050;4,5752172;4,8990086;5,2529834;5,6317878;6,0212534;6,2100000;15,3000000;25,0000000;32,0000000;37,5000000;41,9000000;54,6228059;59,1008338;64,3460298;64,7448843;68,2450523;66,5439497;76,5077006;78,6122576;
American Samoa;ASM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;2,2007688;2,8584496;3,4805368;4,0717165;5,3006811;6,4822257;8,8992855;12,5000000;17,2286488;24,2665437;27,0000000;30,0000000;34,0000000;38,0000000;42,0000000;47,0000000;52,0000000;58,0000000;63,4000000;67,7800000;70,0000000;73,0000000;;;95,7076313;95,6855078;95,6633895;
Australia;AUS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5850947;1,0972039;1,7687649;1,9746110;2,2321013;2,7596545;3,2752499;16,3693584;30,8132394;40,7837839;46,7561156;52,6892664;;;;63,0000000;66,0000000;69,4500000;71,6700000;74,2500000;76,0000000;79,4876977;79,0000000;83,4534972;84,0000000;84,5605149;86,5400000;86,5450489;90,0000000;93,6099192;96,3944669;96,2400000;
Austria;AUT;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1303694;0,2590816;0,6428176;0,7653427;1,3934230;1,8902105;6,9091624;9,5339743;15,4212193;23,0443171;33,7301330;39,1854502;36,5600000;42,7000000;54,2800000;58,0000000;63,6000000;69,3700000;72,8700000;73,4500000;75,1700000;78,7399931;80,0299939;80,6188000;80,9958250;83,9401419;84,3237426;87,9355866;87,4791372;87,7522048;87,5294281;92,5291510;93,6140914
Azerbaijan;AZE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0014314;0,0020556;0,0063546;0,0251879;0,0374851;0,0992289;0,1477576;0,3055646;4,9997137;;;8,0303754;11,9921773;14,5400000;17,0800000;27,4000000;46,0000000;50,0000000;54,2000000;73,0000014;75,0000156;77,0000000;78,2000000;79,0000000;79,7999955;81,0999991;84,5999957;86,0000000;
Burundi;BDI;Individuals using the Internet (% of population);IT.NET.USER.ZS;0,0000000;;;;;0,0000000;;;;;0,0000000;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0008036;0,0079794;0,0158428;0,0392045;0,0772484;0,1060012;0,1182284;0,2012732;0,3490605;0,5421429;0,6575926;0,7000000;0,8100000;0,9000000;1,0000000;1,1100000;1,2199999;1,2642181;1,4000000;2,0000000;2,2000000;2,6607485;2,7000000;2,7314434;3,7879544;5,8049216;
Belgium;BEL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0010067;0,0200726;0,1000410;0,1994461;0,6959947;0,9916630;2,9684116;4,9380809;7,8866227;13,7722145;29,4316917;31,2883955;46,3300000;49,9700000;53,8600000;55,8200000;61,9818700;66,7604202;68,8573221;74,5441456;77,6397855;81,6099960;80,7199906;82,1702000;85,0000000;85,0529418;86,5164767;87,6796808;88,6473430;90,2754280;91,5264163;92,7886762;94,0078307
Benin;BEN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0016931;0,0246488;0,0478773;0,1549067;0,2252479;0,3634179;0,7029456;0,9513271;1,1825410;1,2710314;1,5378543;1,7900000;1,8500000;2,2400000;3,1300000;4,1483231;4,5000000;4,9000000;6,0000000;11,2549879;14,5000000;18,7000000;19,0000000;22,4159384;28,2291542;33,9653309;
Burkina Faso;BFA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0009605;0,0186864;0,0454235;0,0617803;0,0770802;0,1577325;0,2009926;0,3734403;0,4002953;0,4699145;0,6327076;0,7500000;0,9200000;1,1300000;2,4000000;3,0000000;3,7250349;5,0000000;6,0000000;6,5500000;7,1400000;7,7900000;8,5000000;9,2718060;13,9379718;21,5798273;
Bangladesh;BGD;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;;0,0007510;0,0036848;0,0361704;0,0710394;0,1298080;0,1399203;0,1638777;0,1990363;0,2416373;1,0000000;1,8000000;2,5000000;3,1000000;3,7000000;4,5000000;5,0000000;6,6300000;11,9000000;12,9000000;18,1000000;19,8000000;23,4400000;27,7600000;32,8700000;38,9174447;
Bulgaria;BGR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0023390;0,0195267;0,1196655;0,7252512;1,2198131;1,8449651;2,9081540;5,3709235;7,6122977;9,0800000;12,0400000;18,1300000;19,9700000;27,0900000;33,6400000;39,6700000;45,0000000;46,2300000;47,9799931;51,8999877;53,0615000;55,4900000;56,6562516;59,8255477;63,4101014;64,7820107;67,9469809;70,1624836;75,2714458;79,1268633
Bahrain;BHR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,3462058;0,8432542;1,6462992;3,2182022;4,7203581;6,1537325;15,0386343;18,0507209;21,5549450;21,4586805;21,3037335;28,2439524;32,9100000;51,9500000;53,0000000;55,0000000;76,9999665;88,0000000;90,0000397;90,5031335;93,4783008;97,9999807;95,8781358;98,6446726;99,7015044;99,6710316;100,0000000;
Bahamas, The;BHS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,9600307;1,7469507;1,3629539;2,3355907;3,7645578;8,0000000;11,8000000;18,0000000;20,0000000;22,0000000;25,0000000;26,0000000;27,0000000;31,5400000;33,8800000;43,0000000;65,0000000;71,7482028;72,0000000;76,9200000;78,0000000;80,0000000;80,6000000;83,0000000;90,6932766;92,4760204;94,2938073;
Bosnia and Herzegovina;BIH;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0151256;0,0594256;0,1436711;0,1943742;1,0829608;1,2005270;2,6482679;3,9650368;15,4689716;21,3267010;25,1223857;27,9200000;34,6600000;37,7400000;42,7500000;43,8876865;45,0645004;48,5213142;49,9177324;52,6000000;60,2565354;64,8920205;70,1201350;69,9463476;73,2117529;75,6762014;78,8455371
Belarus;BLR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0004860;0,0029213;0,0292983;0,0490209;0,0738689;0,4948812;1,8603981;4,3006160;8,9509713;;;;16,2000000;19,7000000;23,0000000;27,4300000;31,8000000;39,6488957;46,9100000;54,1700000;59,0200000;62,2303609;71,1130458;74,4364454;79,1298867;82,7891521;85,0879125;86,8884120;89,5073315
Belize;BLZ;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0453972;0,8828073;1,2885823;2,0915164;4,0767406;5,9638353;;5,6842512;;9,8000000;17,0000000;24,0000000;24,6000000;26,3000000;27,2000000;28,2000000;30,7000000;31,0000000;33,6000000;38,7000000;41,5900000;44,5757403;47,0826258;49,8000000;57,1184419;59,5063894;61,9941698;
Bermuda;BMU;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;6,8381635;16,2024660;24,1892567;32,1037594;39,9475888;42,9498600;47,5096999;52,0315974;56,5220122;60,9908670;65,4470658;69,8996552;74,3505940;82,3000000;83,2500000;84,2100000;88,3360000;91,2993045;95,3000000;96,8000000;98,3236097;98,0000000;98,3700000;;;;;
Bolivia;BOL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0668076;0,1960812;0,4478390;0,6264841;0,9818152;1,4427636;2,1204625;3,1171929;3,5085964;4,4399246;5,2275840;6,2006713;10,4992443;12,5000000;16,8000000;22,4000000;30,0000000;35,3400000;36,9900000;34,6000000;37,4900000;39,6975146;43,8322761;44,2861422;47,4748191;59,9401016;65,9773785;
Brazil;BRA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0032882;0,0129463;0,0254983;0,0376727;0,1051382;0,4507892;0,7860792;1,4778750;2,0387322;2,8706852;4,5284949;9,1494251;13,2075861;19,0736723;21,0227473;28,1783802;30,8800000;33,8300000;39,2200000;40,6500000;45,6900000;48,5600000;51,0400000;54,5510019;58,3279517;60,8725401;67,4712845;70,4342825;73,9124399;81,3426935;80,6898931;80,5277509
Barbados;BRB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0077522;0,3894642;0,7834289;1,9702492;2,3762470;3,9736784;11,9364503;27,8363224;39,6896271;49,8000000;52,5000000;55,3000000;58,2000000;61,4000000;64,7000000;65,1000000;66,5000000;71,2000000;71,8000000;75,1600000;76,1100000;79,5493979;81,7607784;82,4800000;83,2088133;82,4584460;85,8200000;
Brunei Darussalam;BRN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;1,0170802;3,3033499;4,8310579;6,2847428;7,6710412;8,9962845;12,9177691;15,3298799;19,5950032;29,7156041;36,4663920;42,1863492;44,6800000;46,0000000;49,0000000;53,0000000;56,0000000;60,2730650;64,5000000;68,7700000;71,2000000;90,0000000;94,8666916;95,0000000;95,0000000;96,0691259;98,0800000;
Bhutan;BTN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;;;;0,1375715;0,4009444;0,8646286;1,6758026;2,4369124;3,1569842;3,8471067;4,5183173;5,9200000;6,5500000;7,1700000;13,6000000;14,4000000;15,6000000;22,4000000;30,3000000;39,8000000;46,5000000;54,3000000;63,5000000;74,1794426;79,8698488;85,6368839;
Botswana;BWA;Individuals using the Internet (% of population);IT.NET.USER.ZS;0,0000000;;;;;0,0000000;;;;;0,0000000;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0645210;0,1574542;0,3077469;0,6024009;1,1223915;2,9026666;3,4308868;3,3859224;3,3451902;3,3048893;3,2625540;4,2899330;5,2800000;6,2500000;6,1500000;6,0000000;9,0000000;16,0000000;30,0000000;36,7447474;37,3120504;39,3629974;41,4137946;58,0000000;64,8263254;72,7480200;73,5000000;
Central African Republic;CAF;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0058495;0,0142709;0,0278782;0,0408943;0,0533942;0,0785434;0,1285371;0,1515633;0,2234014;0,2681956;0,3111592;0,3758160;1,0000000;1,8000000;2,0000000;2,2000000;2,4000000;2,5000000;2,7000000;2,9000000;3,1000000;4,0000000;5,1000000;7,5091614;8,5656725;10,5826396;
Canada;CAN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3609997;0,5703859;0,9159810;1,1845575;2,3786939;4,1635253;6,7602397;15,0723574;24,8974003;36,1864400;51,3000000;60,2000000;61,5932993;64,2000000;65,9559635;71,6600000;72,4000000;73,2000000;76,7000000;80,3000000;80,3000000;83,0000000;83,0000000;85,8000000;87,1200000;90,0000000;91,1600000;92,7013719;94,6400000;91,9128967;92,3000000;92,8340166;
Central Europe and the Baltics;CEB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0021227;0,0234972;0,1404495;0,3677210;0,5878267;1,0700209;1,7944719;3,5145825;4,9657251;7,0554373;10,2402887;18,2645610;22,6136122;29,2752074;34,7751428;40,8344016;45,3137670;50,7054902;55,1138437;58,6002661;59,1190793;61,7140263;63,4541012;66,4752222;67,3429671;71,3428544;73,4106382;75,9768506;78,7290721;81,7802404;84,7124112;86,2157208
Switzerland;CHE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5957142;1,1799560;1,7517133;2,1672702;2,7200043;3,5520072;4,5496567;15,1000000;24,8000000;34,0000000;47,1000000;55,1000000;61,4000000;65,1000000;67,8000000;70,1000000;75,7000000;77,2000000;79,2000000;81,3000000;83,9000000;85,1930282;85,2000000;86,3400000;87,4000000;87,4790556;89,1346877;89,6861477;91,8000000;93,1460870;94,3499520;95,5693717;
Channel Islands;CHI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0365489;0,0717831;0,1410845;0,3469808;0,6834756;1,0570925;1,6623220;4,1034193;16,6000000;19,1000000;22,1000000;25,4737789;28,1779101;31,1753470;34,4977512;35,9000000;37,3000000;41,5600000;45,0000000;52,2496073;55,0500000;58,0000000;61,1100000;76,6295920;83,5585860;82,3274869;84,9000000;85,0175838;86,3709952;90,1933688;
China;CHN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0001687;0,0011681;0,0049547;0,0130817;0,0323949;0,1685403;0,7081880;1,7759132;2,6396502;4,5957043;6,2000000;7,3000000;8,5232570;10,5231526;16,0000000;22,6000000;28,9000000;34,3000000;38,3000000;42,3001175;45,8000000;47,9000000;50,3000000;53,2000000;54,3000000;59,2000000;64,0808813;70,0527600;73,0532414;75,6113160
Cote d'Ivoire;CIV;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0002003;0,0084098;0,0188284;0,0609744;0,1186859;0,2314617;0,3957477;0,4979294;0,7586696;0,8492824;1,0392382;1,5249008;1,8000000;1,9000000;2,0000000;2,7000000;2,9000000;4,4000000;6,6000000;10,0000000;16,7000000;41,2078149;43,8399209;37,5465361;36,2889546;41,3736053;45,4255327;35,4781211
Cameroon;CMR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;;0,0067687;0,0132163;0,1290676;0,2521201;0,2770513;0,3608716;0,5876226;0,9760754;1,4026542;2,0287448;2,9300000;3,4000000;3,8400000;4,3000000;5,0000000;7,5000000;10,0000000;16,2148722;18,3000000;20,6000000;23,2029720;29,7000000;36,5391824;45,5292227;45,6021739;
Congo, Dem, Rep,;COD;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0001082;0,0002112;0,0004131;0,0010091;0,0059021;0,0114758;0,0927907;0,1349148;0,1962084;0,2380378;0,2960536;0,3700000;0,4400000;0,5600000;0,7200000;1,2000000;1,6799610;2,2000000;3,0000000;3,7999995;6,2099741;8,6199049;11,7000000;16,4811891;22,8649485;22,9015849;
Congo, Rep,;COG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0035269;0,0034691;0,0034151;0,0167910;0,0263547;0,0322236;0,1572495;0,4600142;1,0775049;1,4634201;2,0079901;2,7597044;4,2875099;4,5000000;5,0000000;5,6000000;6,1066950;6,6000000;7,1100000;7,6159747;8,1219493;8,6500000;;;;;
Colombia;COL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,1071739;0,1880468;0,3300178;0,5505210;1,1262252;1,6977308;2,2075330;2,8542000;4,6000000;7,3889237;9,1186903;11,0072639;15,3416745;21,8000000;25,6000000;30,0000000;36,5000000;40,3509158;48,9800000;51,7000000;52,5700000;55,9049725;58,1364936;62,2598803;64,1263768;65,0069007;69,7953347;73,0283745;72,7963770
Comoros;COM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;;0,0000000;0,0378710;0,1481630;0,2717406;0,4430684;0,5548697;0,8481894;1,3273272;2,0000000;2,2000000;2,5000000;3,0000000;3,5000000;5,1000000;5,5000000;5,9752963;6,5000000;6,9800000;7,4591614;7,9383228;8,4781703;;16,3837512;21,1632152;27,3369432;
Cabo Verde;CPV;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;;0,2409679;0,4727350;1,1599825;1,8224439;2,6853327;3,5187572;4,3248854;5,3188321;6,0740871;6,8089110;8,2832198;14,0000000;21,0000000;30,0000000;32,0000000;34,7400000;37,5000000;40,2600000;42,6830142;50,3228179;57,1621464;59,5000000;61,9433978;63,1611913;69,7622565;
Costa Rica;CRI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0011133;0,0815098;0,2799125;0,4168292;0,8410570;1,6402213;2,6663787;3,9043233;5,8002530;9,5594821;19,8948511;20,3336148;20,7923067;22,0700000;25,1000000;28,4000000;32,2900000;34,3300000;36,5000000;39,2121960;47,5000000;45,9600000;53,0000000;59,7629501;65,8804492;71,5816646;73,4797284;81,2025964;80,5301861;82,7490161;82,5980112
Caribbean small states;CSS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0146062;0,1709046;0,5547976;0,9051596;1,9459822;2,9813662;4,2752680;6,9650772;10,7297874;13,5802131;15,4668170;17,9976297;20,8812531;24,5358968;27,7220737;31,9215550;35,5878399;42,3522789;42,6882984;45,1576118;48,4690090;50,6767235;53,0423750;58,4640356;;73,5996633;77,9611542;80,2735734;
Cuba;CUB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000917;0,0319490;0,0682202;0,2266992;0,3146905;0,5411825;1,0797517;3,7705850;5,2412691;8,4079848;9,7380622;11,1596013;11,6900000;12,9400000;14,3300000;15,9000000;16,0172908;21,2000000;27,9300000;29,0701844;37,3050974;42,9786752;57,1484043;62,6789236;67,9708087;71,1190751;71,1190751;
Curacao;CUW;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,8555107;68,1272163;;;;;
Cayman Islands;CYM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;3,9489672;;;;;;;;;;38,0343831;44,5000000;52,0000000;61,0000000;64,5000000;66,0000000;69,4659450;69,7000000;71,4000000;74,1000000;77,0000000;79,0000000;81,0676933;;;;;
